Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,24,31,706,-244.3857192993164,5968.0,7840.0,4294964856.0
2018,11,27,18,24,31,710,-244.4601058959961,,,
2018,11,27,18,24,31,713,-244.44007873535156,,,
2018,11,27,18,24,31,717,-244.44007873535156,,,
2018,11,27,18,24,31,721,-244.4314956665039,,,
2018,11,27,18,24,31,725,-244.39144134521484,5929.0,7918.0,4294964797.0
2018,11,27,18,24,31,729,-244.38858032226562,,,
2018,11,27,18,24,31,733,-244.5230484008789,,,
2018,11,27,18,24,31,737,-244.42577362060547,,,
2018,11,27,18,24,31,741,-244.38858032226562,,,
2018,11,27,18,24,31,745,-244.28272247314453,5987.0,8016.0,4294964817.0
2018,11,27,18,24,31,749,-244.0023422241211,,,
2018,11,27,18,24,31,753,-243.89362335205078,,,
2018,11,27,18,24,31,756,-243.99089813232422,,,
2018,11,27,18,24,31,760,-243.86215209960938,,,
2018,11,27,18,24,31,764,-243.8335418701172,6066.0,7957.0,4294964797.0
2018,11,27,18,24,31,768,-243.80779266357422,,,
2018,11,27,18,24,31,772,-243.4844970703125,,,
2018,11,27,18,24,31,776,-242.9494857788086,,,
2018,11,27,18,24,31,780,-242.91229248046875,,,
2018,11,27,18,24,31,784,-243.01815032958984,6027.0,8075.0,4294964621.0
2018,11,27,18,24,31,788,-243.2842254638672,,,
2018,11,27,18,24,31,792,-243.4844970703125,,,
2018,11,27,18,24,31,795,-243.67046356201172,,,
2018,11,27,18,24,31,799,-243.88504028320312,,,
2018,11,27,18,24,31,803,-244.00806427001953,6046.0,8016.0,4294964562.0
2018,11,27,18,24,31,807,-244.0166473388672,,,
2018,11,27,18,24,31,811,-244.15111541748047,,,
2018,11,27,18,24,31,815,-244.33422088623047,,,
2018,11,27,18,24,31,819,-244.3828582763672,,,
2018,11,27,18,24,31,823,-244.3857192993164,6154.0,7859.0,4294964601.0
2018,11,27,18,24,31,827,-244.37999725341797,,,
2018,11,27,18,24,31,831,-244.44007873535156,,,
2018,11,27,18,24,31,835,-244.31419372558594,,,
2018,11,27,18,24,31,838,-244.39430236816406,,,
2018,11,27,18,24,31,842,-244.2913055419922,6134.0,7634.0,4294964376.0
2018,11,27,18,24,31,846,-244.28558349609375,,,
2018,11,27,18,24,31,850,-244.52590942382812,,,
2018,11,27,18,24,31,854,-244.59457397460938,,,
2018,11,27,18,24,31,858,-244.44580078125,,,
2018,11,27,18,24,31,862,-244.4915771484375,6046.0,7379.0,4294964396.0
2018,11,27,18,24,31,866,-244.46582794189453,,,
2018,11,27,18,24,31,870,-244.56310272216797,,,
2018,11,27,18,24,31,874,-244.54593658447266,,,
2018,11,27,18,24,31,878,-244.6117401123047,,,
2018,11,27,18,24,31,881,-244.5688247680664,6007.0,7399.0,4294964503.0
2018,11,27,18,24,31,885,-243.65901947021484,,,
